# Date,City,State,Event Type,TO,Best of,Event Locator Link,Notes,Total Players,Lat,Lon,
10/20/2018,Meridian,ID,USA,MSS,Jessica Roest,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-002934/,,8,43.61103,-116.39258
10/20/2018,Reynosa,Tamaulipas,MEX,PC,Jose Alejandro Guerrero,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-002286/,,11,26.0928,-98.27749
10/20/2018,Milwaukie,OR,USA,PC,Seth Kuepker,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-001824/,Not enough players- cancelled.,,45.44517,-122.64153
10/20/2018,Houston,TX,USA,PC,Steve Lewis,,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-003510/,,8,29.76059,-95.36968
10/20/2018,Hurst,TX,USA,PC,Christine Noah,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-003665/,,,32.84106,-97.18618
10/20/2018,Oakville,Ontario,CAN,MSS,Morpheus Meadows,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-002926/,changed from 10/28/2018.,16,43.46644,-79.69001
10/21/2018,Fincastle,VA,USA,MSS,Marthe Honts,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-000186/,$5 entry,17,37.4998,-79.87243
10/21/2018,Minneapolis,MN,USA,MSS,Ryan Alperstein,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-001044/,,13,44.97902,-93.26494
10/21/2018,Monterrey,Nuevo Leon,MEX,MSS,Israel Morales,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-001288/,,11,25.67093,-100.30999
10/21/2018,Vancouver,British Columbia,CAN,MSS,Rushan Shekar,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-000919/,,16,49.26039,-123.11336
10/21/2018,Vancouver,British Columbia,CAN,PC,Rushan Shekar,Bo1,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-000921/,,8,49.26039,-123.11336
10/21/2018,Monterrey,Nuevo Leon,MEX,PC,Israel Morales,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-001288/,,11,25.67093,-100.30999
10/21/2018,Mexico DF,Distrito Federal,MEX,PC,Ives Rountree,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-002034/,,16,19.43195,-99.13315
10/21/2018,Columbus,OH,USA,PC,Ryan Patterson,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-002018/,,,39.96199,-83.00276
10/21/2018,Loves Park,IL,USA,MSS,Suzanne Nortridge,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-002802/,,22,42.31607,-89.05721
10/21/2018,Loves Park,IL,USA,PC,Suzanne Nortridge,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-001919/,,,42.31607,-89.05721
10/21/2018,Huntsville,AL,USA,PC,Mitch Beyer,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-002947/,free,8,34.7293,-86.58511
10/21/2018,North Canton,OH,USA,MSS,AJ Schumacher,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-002828/,,12,40.87557,-81.40206
10/21/2018,Piscataway,NJ,USA,PC,Jennifer Badamo/Arbin Tumaneng,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-003003/,,18,40.53861,-74.47181
10/21/2018,Raleigh,NC,USA,PC,Tommy Roberson,Bo1*,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-001960/,*- subject to change,,35.78551,-78.64267
10/21/2018,Villahermosa,Tabasco,MEX,MSS,Fernando Silva,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-000172/,,,17.99639,-92.93694
10/21/2018,Fort Collins,CO,USA,PC,Michael Pule,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-002092/,,10,40.58147,-105.07662
10/21/2018,San Antonio,TX,USA,PC,Joey Palacios,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-002402/,,8,29.42458,-98.49461
10/21/2018,Milwaukie,OR,USA,MSS,Seth Kuepker,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-001827/,Cancelled- not enough players,,45.44517,-122.64153
10/21/2018,Oakville,Ontario,CAN,MSS,Brandon Ulian,,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-003572/,,18,43.46644,-79.69001
10/25/2018,Maitland,FL,USA,PC,Jason Rengel,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-002739/,,8,28.62736,-81.36454
12/26/2018,Portland,OR,USA,PC,David Nelson,Bo1,,,,45.5118,-122.67563
10/27/2018,Oxford,MS,USA,PC,Joseph Brummett,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-000084/,rescheduled from 10/13/2018.,,34.36403,-89.51894
10/27/2018,Oxford,MS,USA,MSS,Joseph Brummett,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-000084/,immediately followed by PC.,,34.36403,-89.51894
10/27/2018,Dublin,OH,USA,PC,Laura Norton,,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-000171/,,12,40.10497,-83.13309
10/27/2018,Gaithersburg,MD,USA,MSS,Jason Inman,Bo1,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-002639/,,15,39.14036,-77.19373
10/27/2018,Gaithersburg,MD,USA,PC,Jason Inman,Bo1,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-002640/,to immediately follow MSS,10,39.14036,-77.19373
10/27/2018,San Antonio,TX,USA,MSS,Codie Cobb,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-003006/,,10,29.42458,-98.49461
10/27/2018,San Antonio,TX,USA,PC,Codie Cobb,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-003007/,,10,29.42458,-98.49461
10/27/2018,Xalapa,Veracruz,MEX,MSS,Ruben Alejandro Escobedo Diaz,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-001928/,,,19.52734,-96.92273
10/27/2018,Tijuana,Baja California,MEX,PC,Luis Alberto Valencia Rodriguez,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-003482/,,,32.53508,-117.04097
